year,sid,customer_rows,providers,distinct_providers,max_distance_km
2019,18316.0,2,LAPAN,1,0.3363369024318824
2019,18323.0,2,LAPAN,1,0.4850244586727681
2019,18325.0,2,LAPAN,1,0.48323859563843835
2019,18348.0,2,LAPAN,1,0.18586481370292038
2019,18355.0,2,LAPAN,1,0.3925719766178829
2019,23742.0,2,LAPAN,1,0.050313911493614166
2019,24052.0,2,LAPAN,1,0.44038894276687124
2019,24054.0,2,LAPAN,1,0.3845807799845182
2019,24084.0,2,LAPAN,1,0.32319335338855737
2019,27516.0,2,LAPAN,1,0.11398379436319112
2019,28110.0,2,LAPAN,1,0.16419916592854636
2019,28150.0,2,LAPAN,1,0.14896923600339512
2019,41909.0,2,LAPAN,1,0.42822115992831306
2019,41916.0,2,LAPAN,1,0.3490591712122888
2019,41917.0,2,LAPAN,1,0.3440857296481942
2019,41928.0,2,LAPAN,1,0.16715089784634138
2019,41936.0,2,LAPAN,1,0.30571793608534814
2019,41938.0,2,LAPAN,1,0.1311790762252183
2019,42015.0,2,LAPAN,1,0.36119991644367866
2019,42059.0,2,LAPAN,1,0.34705739714019856
2019,56453.0,2,LAPAN,1,0.11703842573985582
2019,56502.0,2,LAPAN,1,0.1103898651458099
2019,56529.0,2,LAPAN,1,0.12776652088974902
2019,56585.0,2,LAPAN,1,0.10694838650032773
2019,56623.0,2,LAPAN,1,0.13028603234726005
2019,56625.0,2,LAPAN,1,0.13759231174618025
2019,56627.0,2,LAPAN,1,0.1420778022318784
2019,56680.0,2,LAPAN,1,0.15616214598940084
2019,56701.0,2,LAPAN,1,0.1336365148145836
2019,56703.0,2,LAPAN,1,0.13048859803875662
2019,56711.0,2,LAPAN,1,0.15753432852947397
2019,56721.0,2,LAPAN,1,0.15588280853588432
2019,56723.0,2,LAPAN,1,0.16166869111130475
2019,56736.0,2,LAPAN,1,0.13201336999635002
2019,56738.0,2,LAPAN,1,0.1335936389684349
2019,65432.0,2,LAPAN,1,0.499611974906771
2019,65981.0,2,LAPAN,1,0.49179594399807214
2019,65999.0,2,LAPAN,1,0.4077609067797086
2019,66007.0,2,LAPAN,1,0.4260747595831
2019,66013.0,2,LAPAN,1,0.41774282404291246
2019,66031.0,2,LAPAN,1,0.12261786172161981
2019,66037.0,2,LAPAN,1,0.3816875556777912
2019,66039.0,2,LAPAN,1,0.3558948116506475
2019,66045.0,2,LAPAN,1,0.28542487254016885
2019,66046.0,2,LAPAN,1,0.498981223323385
2019,66058.0,2,LAPAN,1,0.4540998441160772
2019,66060.0,2,LAPAN,1,0.30619692820590666
2019,66065.0,2,LAPAN,1,0.4357117425199808
2019,66067.0,2,LAPAN,1,0.4173994681787445
2019,66078.0,2,LAPAN,1,0.2817464910989178
2019,66086.0,2,LAPAN,1,0.15056106825096938
2019,66150.0,2,LAPAN,1,0.42311399507035774
2019,66160.0,2,LAPAN,1,0.42637805067970547
2019,66162.0,2,LAPAN,1,0.11151827432085067
2019,66167.0,2,LAPAN,1,0.36463503693457167
2019,66239.0,2,LAPAN,1,0.04943874155889356
2019,66243.0,2,LAPAN,1,0.46849994483368834
2019,66248.0,2,LAPAN,1,0.21767246379492758
