customer_index,sid,distance_km,delta_minutes,same_satellite,unknown_satellite,time_residual_minutes,candidate_count
0,36,0.0373857619652573,391.0,True,False,-29.0,1
1,39,0.038728375020397186,391.0,True,False,-29.0,1
2,38,0.03634003842518551,391.0,True,False,-29.0,1
3,37,0.037538790891473724,391.0,True,False,-29.0,1
4,40,0.03568015266177598,391.0,True,False,-29.0,1
5,325,0.015311995569103391,395.0,True,False,-25.0,1
6,445,0.02761868011001473,384.0,True,False,-36.0,1
7,473,0.0462604121470325,392.0,True,False,-28.0,1
8,1007,0.01991421997798461,402.0,True,False,-18.0,1
11,1117,0.02881761951244182,396.0,True,False,-24.0,1
12,1118,0.0368363938740412,396.0,True,False,-24.0,1
14,1283,0.07122970145789657,409.0,True,False,-11.0,1
15,1497,0.021410467802512104,377.0,True,False,-43.0,1
17,1924,0.03774851862541274,379.0,True,False,-41.0,1
18,1926,0.03050971641116325,379.0,True,False,-41.0,1
19,1988,0.02969311291553358,392.0,True,False,-28.0,1
25,2465,0.030784807917272096,397.0,True,False,-23.0,1
26,2463,0.03469388775976886,398.0,True,False,-22.0,1
27,3069,0.035260510117255034,410.0,True,False,-10.0,1
30,3821,0.0507130644175901,365.0,True,False,-55.0,1
31,3820,0.03981062304258331,365.0,True,False,-55.0,1
32,3902,0.025921323824093116,397.0,True,False,-23.0,1
34,4059,0.058688904550340364,362.0,True,False,-58.0,1
35,4058,0.05666753400506973,362.0,True,False,-58.0,1
38,4114,0.025721561370930485,379.0,True,False,-41.0,1
39,4140,0.03273934321173459,383.0,True,False,-37.0,1
40,4313,0.051615741706174195,365.0,True,False,-55.0,1
42,4360,0.018655405827920673,373.0,True,False,-47.0,1
43,4361,0.017912630708227982,373.0,True,False,-47.0,1
46,4430,0.01418654547633863,385.0,True,False,-35.0,1
47,4431,0.01616528824572506,385.0,True,False,-35.0,1
48,4442,0.026823671542661163,390.0,True,False,-30.0,1
52,4443,0.03159023264314908,389.0,True,False,-31.0,1
54,4765,0.02921982661946527,361.0,True,False,-59.0,1
57,4782,0.022447749469726747,373.0,True,False,-47.0,1
58,4783,0.027566524541489838,373.0,True,False,-47.0,1
59,4784,0.027160990594107155,373.0,True,False,-47.0,1
61,4812,0.021333276117158986,377.0,True,False,-43.0,1
62,4809,0.027202721795107156,378.0,True,False,-42.0,1
66,4840,0.00991427416940683,385.0,True,False,-35.0,1
67,4841,0.021203999400359573,385.0,True,False,-35.0,1
68,4842,0.0084449734603744,385.0,True,False,-35.0,1
69,4866,0.012023106266773945,390.0,True,False,-30.0,1
71,4869,0.02119209201171493,390.0,True,False,-30.0,1
72,4914,0.019584605192492166,407.0,True,False,-13.0,1
73,4986,0.03315769984415786,409.0,True,False,-11.0,1
77,5054,0.024678474824931945,367.0,True,False,-53.0,1
78,5053,0.024312935843449617,367.0,True,False,-53.0,1
81,5211,0.007036989679149303,379.0,True,False,-41.0,1
82,5212,0.010250879130427791,379.0,True,False,-41.0,1
83,5214,0.010954089921933361,379.0,True,False,-41.0,1
84,5213,0.007616368980710657,379.0,True,False,-41.0,1
85,5215,0.011683561463253524,379.0,True,False,-41.0,1
86,5229,0.03165990599030775,384.0,True,False,-36.0,1
88,5276,0.010943336192529409,401.0,True,False,-19.0,1
89,5305,0.010164370994310386,392.0,True,False,-28.0,1
93,5457,0.013911783433608839,385.0,True,False,-35.0,1
95,5456,0.005101974931927308,385.0,True,False,-35.0,1
96,5455,0.012241615383250533,385.0,True,False,-35.0,1
97,5534,0.06370654636501724,402.0,True,False,-18.0,1
101,5730,0.020439537210766984,384.0,True,False,-36.0,1
102,5729,0.020068632644980447,384.0,True,False,-36.0,1
103,5732,0.023799632346453835,384.0,True,False,-36.0,1
105,5828,0.04924202789843458,396.0,True,False,-24.0,1
111,6551,0.0315774083150301,372.0,True,False,-48.0,1
115,6661,0.012112861558039595,380.0,True,False,-40.0,1
117,6659,0.009923239318920783,380.0,True,False,-40.0,1
120,6697,0.02476390213689171,384.0,True,False,-36.0,1
121,6704,0.02725932181438758,384.0,True,False,-36.0,1
122,6862,0.05120629215980766,396.0,True,False,-24.0,1
124,6861,0.039688342893206704,396.0,True,False,-24.0,1
125,6864,0.051075316952091804,396.0,True,False,-24.0,1
130,7087,0.012616002401173068,373.0,True,False,-47.0,1
132,7090,0.015986605775517727,373.0,True,False,-47.0,1
136,7232,0.019447340775096168,385.0,True,False,-35.0,1
139,7578,0.021032064236829434,367.0,True,False,-53.0,1
145,7799,0.036615105516604095,384.0,True,False,-36.0,1
146,7794,0.03473850945703892,384.0,True,False,-36.0,1
148,7795,0.033164996528162904,384.0,True,False,-36.0,1
149,7800,0.03770871478765768,384.0,True,False,-36.0,1
152,7997,0.01375013431329072,392.0,True,False,-28.0,1
153,8034,0.05298061266492348,396.0,True,False,-24.0,1
154,866741,0.24792884190089337,403.0,True,False,-17.0,2
157,8396,0.03925401817497399,378.0,True,False,-42.0,1
158,8802,0.052882270785747934,403.0,True,False,-17.0,1
159,8803,0.05426659703438347,403.0,True,False,-17.0,1
170,9545,0.011713838716052208,379.0,True,False,-41.0,1
172,9535,0.015375736846719081,380.0,True,False,-40.0,1
173,9536,0.004683091421139644,380.0,True,False,-40.0,1
176,9612,0.029233139221838546,384.0,True,False,-36.0,1
178,875540,0.18468149647908041,364.0,True,False,-56.0,5
179,875410,0.15952405734784936,365.0,True,False,-55.0,1
180,875408,0.49733261874219264,365.0,True,False,-55.0,1
181,875409,0.45934041226906414,365.0,True,False,-55.0,1
182,875410,0.45705760015113195,365.0,True,False,-55.0,1
184,9840,0.022999168540385518,401.0,True,False,-19.0,1
186,9839,0.01836415061763134,401.0,True,False,-19.0,1
