train_year,test_year,selected_rule,train_f1_proxy,test_f1_proxy,test_list_recall,test_precision_proxy
2019,2023,confidence>=80_only,0.16178399650196765,0.07669216616636003,0.04966451370163667,0.1682600382409178
2023,2019,r=2km;t=1440min;n>=5,0.37453053677702663,0.07710423437426404,0.895269346458846,0.04028695534472787
