year,mode,utc_offset_hours,matched,customer_rows,coverage
2019,plusminus60,9,4,11426,0.00035007876772273763
2023,plusminus60,9,16,30029,0.0005328182756668553
2019,plusminus60,10,0,11426,0.0
2023,plusminus60,10,0,30029,0.0
2019,plusminus60,11,0,11426,0.0
2023,plusminus60,11,0,30029,0.0
2019,plusminus60,12,0,11426,0.0
2023,plusminus60,12,0,30029,0.0
2019,plusminus60,13,0,11426,0.0
2023,plusminus60,13,0,30029,0.0
2019,plusminus60,14,0,11426,0.0
2023,plusminus60,14,0,30029,0.0
