year,rule,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
2019,r=1km;t=30min;n>=2,1088,30803,446,6588,31891,1534,0.7092568448500652,0.034116208334639866,0.06510097232610322
2019,all_hotspots,1534,37391,0,0,38925,1534,1.0,0.03940912010276172,0.07582985244321412
2023,r=1km;t=30min;n>=2,3059,9263,673,3574,12322,3732,0.8196677384780279,0.24825515338419088,0.38108882521489973
2023,all_hotspots,3732,12837,0,0,16569,3732,1.0,0.22523990584827086,0.36766661740800943
