year,rule,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
2019,r=0.5km;t=0min;n>=2,2941,118815,4373,66620,121756,7314,0.40210555099808587,0.024154867111271724,0.04557217014023398
2019,r=0.5km;t=0min;n>=3,1664,70937,5650,114498,72601,7314,0.227508887065901,0.0229197944931888,0.04164424701245073
2019,r=0.5km;t=0min;n>=5,317,18401,6997,167034,18718,7314,0.04334153677878042,0.016935570039534137,0.024354640442532268
2019,r=0.5km;t=10min;n>=2,3410,121948,3904,63487,125358,7314,0.4662291495761553,0.027202093205060705,0.051404968644476606
2019,r=0.5km;t=10min;n>=3,2023,73727,5291,111708,75750,7314,0.27659283565764287,0.026706270627062705,0.048709428874121156
2019,r=0.5km;t=10min;n>=5,463,20262,6851,165173,20725,7314,0.06330325403336068,0.022340168878166467,0.03302542886693534
2019,r=0.5km;t=30min;n>=2,4150,126105,3164,59330,130255,7314,0.5674049767569046,0.03186058116770949,0.060333359986624896
2019,r=0.5km;t=30min;n>=3,2530,77512,4784,107923,80042,7314,0.34591194968553457,0.03160840558706679,0.057923897614359635
2019,r=0.5km;t=30min;n>=5,654,22415,6660,163020,23069,7314,0.08941755537325677,0.028349733408470242,0.04305039002073528
2019,r=0.5km;t=60min;n>=2,4666,148288,2648,37147,152954,7314,0.6379546076018594,0.030505903735763694,0.058227468989442685
2019,r=0.5km;t=60min;n>=3,3671,116945,3643,68490,120616,7314,0.5019141372709871,0.030435431451880348,0.057390760572187914
2019,r=0.5km;t=60min;n>=5,1954,65681,5360,119754,67635,7314,0.2671588733934919,0.028890367413321506,0.05214212331051782
2019,r=0.5km;t=1440min;n>=2,6329,165784,985,19651,172113,7314,0.8653267705769757,0.03677235304712602,0.07054679619009402
2019,r=0.5km;t=1440min;n>=3,5574,148525,1740,36910,154099,7314,0.7621000820344545,0.036171552054198926,0.06906506910843613
2019,r=0.5km;t=1440min;n>=5,4300,121400,3014,64035,125700,7314,0.587913590374624,0.03420843277645187,0.06465484836182657
2019,r=1km;t=0min;n>=2,4024,145594,3290,39841,149618,7314,0.5501777413180202,0.02689515967330134,0.05128335839726761
2019,r=1km;t=0min;n>=3,3042,118930,4272,66505,121972,7314,0.4159146841673503,0.024940150198406192,0.047058459539315936
2019,r=1km;t=0min;n>=5,1985,86068,5329,99367,88053,7314,0.2713973202078206,0.022543241002577992,0.0416286556146256
2019,r=1km;t=10min;n>=2,4600,148181,2714,37254,152781,7314,0.6289308176100629,0.030108455894384774,0.057465879633967334
2019,r=1km;t=10min;n>=3,3620,121877,3694,63558,125497,7314,0.4949412086409625,0.028845311043291872,0.054513556858995116
2019,r=1km;t=10min;n>=5,2437,89019,4877,96416,91456,7314,0.3331966092425485,0.026646693491952415,0.04934696770274375
2019,r=1km;t=30min;n>=2,5433,152065,1881,33370,157498,7314,0.7428219852337982,0.034495676135569975,0.06592966531563235
2019,r=1km;t=30min;n>=3,4497,126679,2817,58756,131176,7314,0.6148482362592289,0.034282185765688845,0.06494331720701856
2019,r=1km;t=30min;n>=5,3094,93627,4220,91808,96721,7314,0.4230243368881597,0.031988916574477104,0.059479982698130436
2019,r=1km;t=60min;n>=2,5602,160880,1712,24555,166482,7314,0.7659283565764288,0.033649283406013863,0.0644663858776957
2019,r=1km;t=60min;n>=3,4944,142611,2370,42824,147555,7314,0.6759639048400328,0.033506150249059674,0.06384750983088933
2019,r=1km;t=60min;n>=5,4022,117960,3292,67475,121982,7314,0.5499042931364506,0.032972077847551275,0.062213834921420616
2019,r=1km;t=1440min;n>=2,6909,172738,405,12697,179647,7314,0.9446267432321575,0.038458755225525616,0.07390846219264981
2019,r=1km;t=1440min;n>=3,6590,162278,724,23157,168868,7314,0.9010117582718075,0.03902456356444087,0.07480900432507294
2019,r=1km;t=1440min;n>=5,6022,147245,1292,38190,153267,7314,0.8233524747060432,0.03929091063307822,0.07500264663939071
2019,r=2km;t=0min;n>=2,6119,158597,1195,26838,164716,7314,0.8366147115121685,0.03714878943150635,0.07113875486833691
2019,r=2km;t=0min;n>=3,4875,136952,2439,48483,141827,7314,0.6665299425758818,0.034372862713023616,0.06537437726714988
2019,r=2km;t=0min;n>=5,3189,111540,4125,73895,114729,7314,0.4360131255127153,0.02779593651125696,0.0522602689216096
2019,r=2km;t=10min;n>=2,6234,159599,1080,25836,165833,7314,0.85233798195242,0.037592035360875097,0.07200817802214303
2019,r=2km;t=10min;n>=3,5132,138703,2182,46732,143835,7314,0.7016680339075745,0.035679771960927455,0.0679065028547989
2019,r=2km;t=10min;n>=5,3690,114199,3624,71236,117889,7314,0.5045118949958983,0.03130063025388289,0.0589442744982149
2019,r=2km;t=30min;n>=2,6523,161325,791,24110,167848,7314,0.8918512441892261,0.03886254230017635,0.07447962457610668
2019,r=2km;t=30min;n>=3,5699,141926,1615,43509,147625,7314,0.779190593382554,0.03860457239627434,0.07356443503572374
