year,unique_rows,evaluated,excluded,TN,FP,FN,TP,accuracy,precision,false_discovery_rate
2019,11426,8843,2583,0,1740,0,7103,0.8032341965396359,0.8032341965396359,0.19676580346036412
2023,30029,6253,23776,0,5769,0,484,0.07740284663361587,0.07740284663361587,0.9225971533663841
2025,1309,1177,132,0,1138,0,39,0.03313508920985556,0.03313508920985556,0.9668649107901445
2026,1181,997,184,0,956,0,41,0.041123370110330994,0.041123370110330994,0.958876629889669
Total,43945,17270,26675,0,9603,0,7667,0.4439490445859873,0.4439490445859873,0.5560509554140127
