year,unique_rows,evaluated,excluded,TN,FP,FN,TP,accuracy,precision,false_discovery_rate
2019,11426,11426,0,0,1740,0,9686,0.8477157360406091,0.8477157360406091,0.15228426395939088
2023,30029,30029,0,0,5769,0,24260,0.8078857104798695,0.8078857104798695,0.19211428952013054
2025,1309,1309,0,0,1138,0,171,0.1306340718105424,0.1306340718105424,0.8693659281894576
2026,1181,1148,33,0,956,0,192,0.1672473867595819,0.1672473867595819,0.8327526132404182
Total,43945,43912,33,0,9603,0,34309,0.781312625250501,0.781312625250501,0.218687374749499
